year,state_population,murder,robbery,agg_assault,burglary,larceny,vehicle_theft,rape,murder_cutting,murder_firearms,murder_other,murder_unarmed,mass_shootings,hate_crime_murder,hate_crime_other,state,total
2002,19134293,909,36653,53583,76700,318025,47366,3885,,,,,0,2,691,New York,537814
2002,8305820,548,12205,24169,99535,229307,24866,2196,,,,,0,0,62,North Carolina,392888
2002,633911,5,58,270,2243,11501,1018,163,,,,,0,0,18,North Dakota,15276
2002,11408699,526,17871,16922,99164,287045,42767,4809,,,,,0,0,265,Ohio,469369
2002,3489700,163,2966,12885,35171,100185,12772,1573,,,,,0,0,44,Oklahoma,165759
2002,3520355,72,2742,6246,25696,118925,16524,1238,,,,,0,0,61,Oregon,171504
2002,12328827,624,17163,28060,55610,212441,32817,3731,,,,,0,0,96,Pennsylvania,350542
2002,1068326,41,916,1699,6415,24051,4876,395,,,,,0,0,38,Rhode Island,38431
2002,4103770,298,5774,25730,43745,123196,16867,1959,,,,,0,0,71,South Carolina,217640
2002,760437,11,117,861,3034,12139,819,361,,,,,0,1,3,South Dakota,17346
2002,5789796,420,9413,29439,61248,161610,26541,2290,,,,,0,0,130,Tennessee,291091
2002,21736925,1302,37580,78628,212602,688992,102680,8508,,,,,0,1,342,Texas,1130635
2002,2318789,47,1140,3358,15124,74795,7722,943,,,,,0,0,54,Utah,103183
2002,616408,13,77,442,3489,10684,769,126,,,,,0,0,18,Vermont,15618
2002,7287829,388,6961,12068,31757,157548,18478,1839,,,,,1,0,291,Virginia,229331
2002,6067060,184,5797,12249,54948,193526,40493,2734,,,,,0,0,173,Washington,310104
2002,1804884,57,657,3179,9677,27524,3898,328,,,,,0,0,42,West Virginia,45362
2002,5439692,154,4713,6134,27926,123365,13458,1237,,,,,0,0,34,Wisconsin,177021
2002,498830,15,93,1108,2448,13303,743,148,,,,,0,0,5,Wyoming,17863
2003,4503726,299,6038,11338,43245,124039,14957,1656,,,,,0,0,1,Alabama,201573
2003,648280,39,446,2787,3874,18051,2461,605,,,,,0,0,13,Alaska,28276
2003,5579222,441,7619,18722,58613,198725,56997,1856,,,,,0,0,247,Arizona,343220
2003,2727774,180,2227,9131,25016,68061,6007,911,,,,,0,2,171,Arkansas,111706
2003,35462712,2407,63770,129380,242274,731486,241326,9994,,,,,0,4,1468,California,1422109
2003,4547633,185,3738,9921,32394,124496,22816,1913,,,,,0,0,86,Colorado,195549
2003,3486960,112,4212,6023,16043,65568,11370,698,,,,,0,0,147,Connecticut,104173
2003,818166,21,1441,3693,6066,18933,2944,370,,,,,0,0,20,Delaware,33488
2003,16999181,924,31523,85106,170644,505489,81563,6727,,,,,0,0,231,Florida,882207
2003,8676460,657,14043,22501,79001,247196,43392,2234,,,,,0,0,23,Georgia,409047
2003,1248755,22,1168,1843,11409,44807,9651,367,,,,,0,,,Hawaii,69267
2003,1367034,26,245,2556,7837,29559,2646,535,,,,,0,0,20,Idaho,43424
2003,12649087,895,23786,41506,78345,295907,41633,4189,,,,,1,0,208,Illinois,486470
2003,6199571,338,6401,13383,41582,145686,20771,1720,,,,,0,0,65,Indiana,229946
2003,2941976,50,1131,6198,17515,64400,5639,796,,,,,0,0,38,Iowa,95767
2003,2724786,125,2247,7374,21973,79471,7832,1085,,,,,0,0,49,Kansas,120156
2003,4118189,181,3224,5703,26034,69083,8253,1124,,,,,0,0,81,Kentucky,113683
2003,4493665,584,7008,19429,44572,129471,19655,1601,,,,,0,1,5,Louisiana,222326
2003,1309205,16,289,763,6579,24043,1456,354,,,,,0,0,77,Maine,33577
2003,5512310,525,13302,23593,38641,134372,36405,1358,,,,,0,0,248,Maryland,248444
2003,6420357,140,8011,20378,34963,104069,25511,1848,,,,,0,0,401,Massachusetts,195321
2003,10082364,612,11254,34214,68316,208538,53711,5470,,,,,0,0,421,Michigan,382536
2003,5064172,127,3906,7191,27698,116216,13749,2092,,,,,0,0,215,Minnesota,171194
2003,2882594,267,3016,4974,29564,68307,8996,1079,,,,,1,0,1,Mississippi,116205
2003,5719204,289,6686,19692,41997,161616,29951,1400,,,,,0,0,55,Missouri,261686
2003,918157,30,298,2777,3722,22800,1906,246,,,,,0,0,5,Montana,31784
2003,1737475,56,1165,3380,10133,48924,6132,504,,,,,0,0,44,Nebraska,70338
2003,2242207,197,5225,7520,21958,53321,20849,871,,,,,0,0,97,Nevada,110038
2003,1288705,17,480,1002,4589,19934,1933,438,,,,,0,0,32,New Hampshire,28425
2003,8642412,406,13342,16452,43457,142287,34606,1288,,,,,0,0,594,New Jersey,252432
2003,1878562,116,1937,9542,18997,50595,7224,940,,,,,0,0,11,New Mexico,89362
2003,19212425,934,35790,48987,75453,311422,45204,3775,,,,,0,0,603,New York,522168
2003,8421190,506,12229,23369,100687,232081,26892,2139,,,,,0,2,75,North Carolina,397980
2003,633400,9,53,286,1959,10327,1078,160,,,,,0,0,10,North Dakota,13882
2003,11437680,526,16895,16104,95083,281383,41017,4660,,,,,1,0,244,Ohio,455913
2003,3506469,206,3224,12827,34846,103404,12958,1501,,,,,0,0,38,Oklahoma,169004
2003,3564330,68,2847,6373,28562,122327,18974,1218,,,,,0,0,103,Oregon,180472
2003,12370761,647,17980,27027,53918,213279,33442,3556,,,,,0,0,118,Pennsylvania,349967
2003,1076084,25,830,1714,5524,22320,4387,505,,,,,0,0,45,Rhode Island,35350
2003,4148744,303,5801,25399,43993,127809,15790,1952,,,,,0,0,64,South Carolina,221111
2003,764905,10,104,859,2878,11572,874,356,,,,,0,0,10,South Dakota,16663
2003,5845208,396,9413,28471,63323,166769,26473,2129,,,,,0,1,160,Tennessee,297135
2003,22103374,1422,37017,75782,219877,698644,98214,8025,,,,,0,1,289,Texas,1139271
2003,2352119,60,1258,3652,16961,75321,7802,919,,,,,0,0,60,Utah,106033
2003,619343,15,62,504,3017,10132,654,126,,,,,0,0,27,Vermont,14537
2003,7365284,416,6713,11554,29105,153367,17977,1807,,,,,0,0,285,Virginia,221224
2003,6131298,182,5718,12509,58271,192653,40618,2863,,,,,0,2,221,Washington,313037
2003,1811440,73,701,3542,10498,28409,3463,311,,,,,0,0,31,West Virginia,47028
2003,5474290,183,4397,6322,26546,118775,12363,1202,,,,,0,0,31,Wisconsin,169819
2003,502111,14,84,1080,2611,13239,798,136,,,,,0,0,12,Wyoming,17974
2004,4525375,254,6042,11286,44666,123650,14024,1742,24,158,44,21,0,0,3,Alabama,201667
2004,657755,37,447,3117,3773,16159,2240,558,4,17,12,4,0,0,9,Alaska,26340
2004,5739879,414,7721,18921,56885,179012,55306,1896,44,295,45,25,0,0,225,Arizona,320380
2004,2750000,176,2372,10083,30151,74242,6518,1183,19,95,31,7,0,0,83,Arkansas,124808
2004,35842038,2392,61768,115400,245903,728687,252604,9615,281,1724,242,144,0,0,1393,California,1417762
2004,4601821,201,3739,11236,33010,123308,24004,1945,32,116,17,34,0,0,60,Colorado,197503
2004,3498966,100,4188,5070,15959,66770,11213,755,16,47,18,5,0,0,120,Connecticut,104175
2004,830069,28,1343,3377,5669,19285,2302,357,3,9,1,1,0,0,37,Delaware,32398
2004,17385430,946,29997,86199,166332,482484,78325,6612,,,,,0,0,274,Florida,851169
2004,8918129,613,13656,23561,82992,249426,44238,2387,70,342,69,47,0,0,29,Georgia,416902
2004,1262124,33,944,1903,10827,41078,8620,333,13,6,5,7,0,,,Hawaii,63738
2004,1395140,31,241,2586,7671,28389,2739,594,5,17,6,2,0,0,37,Idaho,42288
2004,12712016,780,22582,41783,76088,287025,40373,4220,37,337,64,10,0,1,187,Illinois,473039
2004,6226537,316,6373,11802,42168,148670,21091,1803,37,208,39,15,0,0,82,Indiana,232305
2004,2952904,44,1160,6513,17928,62214,5633,782,9,19,5,7,0,0,27,Iowa,94301
2004,2733697,122,1812,7254,20146,81115,8510,1142,6,45,22,2,0,0,49,Kansas,120150
2004,4141835,236,3268,5410,25902,70535,8772,1238,25,136,43,13,0,0,71,Kentucky,115432
2004,4506685,574,6564,20090,45359,134080,19714,1616,44,442,50,21,0,0,24,Louisiana,228021
2004,1314985,18,289,742,6341,24096,1303,315,4,9,1,3,0,0,68,Maine,33172
2004,5561332,521,12772,24351,36704,129888,35882,1317,57,386,47,30,0,0,245,Maryland,241680
2004,6407382,171,7484,20040,34497,101605,22048,1794,37,97,27,6,0,0,358,Massachusetts,187997
2004,10104206,643,11336,32276,64233,194988,50584,5482,68,456,79,35,0,1,558,Michigan,360101
